name,coordinates
vertiport 1,"[(114.162745116342, 22.3158202017388, 7.0), (114.162742303174, 22.3158521512922, 7.0), (114.162733949148, 22.3158831300746, 7.0), (114.162720308096, 22.3159121968113, 7.0), (114.162701794494, 22.3159384683243, 7.0), (114.16267897087, 22.315961146367, 7.0), (114.162652530707, 22.3159795418784, 7.0), (114.162623277376, 22.3159930959204, 7.0), (114.162592099725, 22.3160013966601, 7.0), (114.162559945072, 22.3160041918838, 7.0), (114.162527790418, 22.3160013966601, 7.0), (114.162496612767, 22.3159930959204, 7.0), (114.162467359437, 22.3159795418784, 7.0), (114.162440919273, 22.315961146367, 7.0), (114.162418095649, 22.3159384683243, 7.0), (114.162399582048, 22.3159121968113, 7.0), (114.162385940995, 22.3158831300746, 7.0), (114.162377586969, 22.3158521512922, 7.0), (114.162374773801, 22.3158202017388, 7.0), (114.162377586969, 22.3157882521854, 7.0), (114.162385940995, 22.3157572734031, 7.0), (114.162399582048, 22.3157282066663, 7.0), (114.162418095649, 22.3157019351533, 7.0), (114.162440919273, 22.3156792571107, 7.0), (114.162467359437, 22.3156608615992, 7.0), (114.162496612767, 22.3156473075573, 7.0), (114.162527790418, 22.3156390068176, 7.0), (114.162559945072, 22.3156362115938, 7.0), (114.162592099725, 22.3156390068176, 7.0), (114.162623277376, 22.3156473075573, 7.0), (114.162652530707, 22.3156608615992, 7.0), (114.16267897087, 22.3156792571107, 7.0), (114.162701794494, 22.3157019351533, 7.0), (114.162720308096, 22.3157282066663, 7.0), (114.162733949148, 22.3157572734031, 7.0), (114.162742303174, 22.3157882521854, 7.0), (114.162745116342, 22.3158202017388, 7.0)]"
vertiport 1,"[(114.162559, 22.31582, 7.0)]"
vertiport 2,"[(114.170584724062, 22.3183900686961, 7.0), (114.170581910894, 22.3184220182495, 7.0), (114.170573556868, 22.3184529970319, 7.0), (114.170559915816, 22.3184820637686, 7.0), (114.170541402214, 22.3185083352816, 7.0), (114.17051857859, 22.3185310133243, 7.0), (114.170492138427, 22.3185494088357, 7.0), (114.170462885096, 22.3185629628776, 7.0), (114.170431707445, 22.3185712636174, 7.0), (114.170399552792, 22.3185740588411, 7.0), (114.170367398138, 22.3185712636174, 7.0), (114.170336220487, 22.3185629628776, 7.0), (114.170306967156, 22.3185494088357, 7.0), (114.170280526993, 22.3185310133243, 7.0), (114.170257703369, 22.3185083352816, 7.0), (114.170239189767, 22.3184820637686, 7.0), (114.170225548715, 22.3184529970319, 7.0), (114.170217194689, 22.3184220182495, 7.0), (114.170214381521, 22.3183900686961, 7.0), (114.170217194689, 22.3183581191427, 7.0), (114.170225548715, 22.3183271403603, 7.0), (114.170239189767, 22.3182980736236, 7.0), (114.170257703369, 22.3182718021106, 7.0), (114.170280526993, 22.318249124068, 7.0), (114.170306967156, 22.3182307285565, 7.0), (114.170336220487, 22.3182171745146, 7.0), (114.170367398138, 22.3182088737748, 7.0), (114.170399552792, 22.3182060785511, 7.0), (114.170431707445, 22.3182088737748, 7.0), (114.170462885096, 22.3182171745146, 7.0), (114.170492138427, 22.3182307285565, 7.0), (114.17051857859, 22.318249124068, 7.0), (114.170541402214, 22.3182718021106, 7.0), (114.170559915816, 22.3182980736236, 7.0), (114.170573556868, 22.3183271403603, 7.0), (114.170581910894, 22.3183581191427, 7.0), (114.170584724062, 22.3183900686961, 7.0)]"
vertiport 2,"[(114.170399, 22.31839, 7.0)]"
vertiport 3,"[(114.166170784844, 22.3180280834786, 7.0), (114.166167971676, 22.318060033032, 7.0), (114.16615961765, 22.3180910118144, 7.0), (114.166145976598, 22.3181200785511, 7.0), (114.166127462996, 22.3181463500641, 7.0), (114.166104639372, 22.3181690281068, 7.0), (114.166078199209, 22.3181874236182, 7.0), (114.166048945878, 22.3182009776602, 7.0), (114.166017768227, 22.3182092783999, 7.0), (114.165985613573, 22.3182120736236, 7.0), (114.16595345892, 22.3182092783999, 7.0), (114.165922281269, 22.3182009776602, 7.0), (114.165893027938, 22.3181874236182, 7.0), (114.165866587775, 22.3181690281068, 7.0), (114.165843764151, 22.3181463500641, 7.0), (114.165825250549, 22.3181200785511, 7.0), (114.165811609497, 22.3180910118144, 7.0), (114.165803255471, 22.318060033032, 7.0), (114.165800442303, 22.3180280834786, 7.0), (114.165803255471, 22.3179961339252, 7.0), (114.165811609497, 22.3179651551429, 7.0), (114.165825250549, 22.3179360884061, 7.0), (114.165843764151, 22.3179098168931, 7.0), (114.165866587775, 22.3178871388505, 7.0), (114.165893027938, 22.317868743339, 7.0), (114.165922281269, 22.3178551892971, 7.0), (114.16595345892, 22.3178468885574, 7.0), (114.165985613573, 22.3178440933337, 7.0), (114.166017768227, 22.3178468885574, 7.0), (114.166048945878, 22.3178551892971, 7.0), (114.166078199209, 22.317868743339, 7.0), (114.166104639372, 22.3178871388505, 7.0), (114.166127462996, 22.3179098168931, 7.0), (114.166145976598, 22.3179360884061, 7.0), (114.16615961765, 22.3179651551429, 7.0), (114.166167971676, 22.3179961339252, 7.0), (114.166170784844, 22.3180280834786, 7.0)]"
vertiport 3,"[(114.165985, 22.318028, 7.0)]"
vertiport 4,"[(114.164967171586, 22.3195000046385, 7.0), (114.164964358419, 22.3195319541919, 7.0), (114.164956004392, 22.3195629329743, 7.0), (114.16494236334, 22.319591999711, 7.0), (114.164923849739, 22.319618271224, 7.0), (114.164901026114, 22.3196409492667, 7.0), (114.164874585951, 22.3196593447781, 7.0), (114.16484533262, 22.31967289882, 7.0), (114.16481415497, 22.3196811995598, 7.0), (114.164782000316, 22.3196839947835, 7.0), (114.164749845662, 22.3196811995598, 7.0), (114.164718668012, 22.31967289882, 7.0), (114.164689414681, 22.3196593447781, 7.0), (114.164662974518, 22.3196409492667, 7.0), (114.164640150893, 22.319618271224, 7.0), (114.164621637292, 22.319591999711, 7.0), (114.16460799624, 22.3195629329743, 7.0), (114.164599642213, 22.3195319541919, 7.0), (114.164596829046, 22.3195000046385, 7.0), (114.164599642213, 22.3194680550851, 7.0), (114.16460799624, 22.3194370763027, 7.0), (114.164621637292, 22.319408009566, 7.0), (114.164640150893, 22.319381738053, 7.0), (114.164662974518, 22.3193590600103, 7.0), (114.164689414681, 22.3193406644989, 7.0), (114.164718668012, 22.319327110457, 7.0), (114.164749845662, 22.3193188097172, 7.0), (114.164782000316, 22.3193160144935, 7.0), (114.16481415497, 22.3193188097172, 7.0), (114.16484533262, 22.319327110457, 7.0), (114.164874585951, 22.3193406644989, 7.0), (114.164901026114, 22.3193590600103, 7.0), (114.164923849739, 22.319381738053, 7.0), (114.16494236334, 22.319408009566, 7.0), (114.164956004392, 22.3194370763027, 7.0), (114.164964358419, 22.3194680550851, 7.0), (114.164967171586, 22.3195000046385, 7.0)]"
vertiport 4,"[(114.164782, 22.3195, 7.0)]"
vertiport 5,"[(114.167652155007, 22.3210639208709, 7.0), (114.167649341839, 22.3210958704242, 7.0), (114.167640987813, 22.3211268492066, 7.0), (114.16762734676, 22.3211559159434, 7.0), (114.167608833159, 22.3211821874564, 7.0), (114.167586009534, 22.321204865499, 7.0), (114.167559569371, 22.3212232610105, 7.0), (114.167530316041, 22.3212368150524, 7.0), (114.16749913839, 22.3212451157921, 7.0), (114.167466983736, 22.3212479110158, 7.0), (114.167434829083, 22.3212451157921, 7.0), (114.167403651432, 22.3212368150524, 7.0), (114.167374398101, 22.3212232610105, 7.0), (114.167347957938, 22.321204865499, 7.0), (114.167325134314, 22.3211821874564, 7.0), (114.167306620712, 22.3211559159434, 7.0), (114.16729297966, 22.3211268492066, 7.0), (114.167284625634, 22.3210958704242, 7.0), (114.167281812466, 22.3210639208709, 7.0), (114.167284625634, 22.3210319713175, 7.0), (114.16729297966, 22.3210009925351, 7.0), (114.167306620712, 22.3209719257984, 7.0), (114.167325134314, 22.3209456542854, 7.0), (114.167347957938, 22.3209229762427, 7.0), (114.167374398101, 22.3209045807313, 7.0), (114.167403651432, 22.3208910266893, 7.0), (114.167434829083, 22.3208827259496, 7.0), (114.167466983736, 22.3208799307259, 7.0), (114.16749913839, 22.3208827259496, 7.0), (114.167530316041, 22.3208910266893, 7.0), (114.167559569371, 22.3209045807313, 7.0), (114.167586009534, 22.3209229762427, 7.0), (114.167608833159, 22.3209456542854, 7.0), (114.16762734676, 22.3209719257984, 7.0), (114.167640987813, 22.3210009925351, 7.0), (114.167649341839, 22.3210319713175, 7.0), (114.167652155007, 22.3210639208709, 7.0)]"
vertiport 5,"[(114.167466, 22.321063, 7.0)]"
